Ticker,Date,Surprise,Year,Month,Day,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
KHC,20161103,-27.44479495,2016,10,3,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,Pittsburgh; Pennsylvania,1545158
KIM,20161027,-176.4705882,2016,9,27,Kimco Realty,Real Estate,Retail REITs,New Hyde Park; New York,879101
KLAC,20160426,-4.027420737,2016,3,26,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,Milpitas; California,319201
KMB,20161024,-5.177791641,2016,9,24,Kimberly-Clark,Consumer Staples,Household Products,Irving; Texas,55785
KMI,20161019,-151.5463918,2016,9,19,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Houston; Texas,1506307
KO,20161026,-49.79079498,2016,9,26,Coca Cola Company,Consumer Staples,Soft Drinks,Atlanta; Georgia,21344
KORS,20160202,59.47843531,2016,1,2,Michael Kors Holdings,Consumer Discretionary,Apparel; Accessories & Luxury Goods,New York; New York,1530721
KSS,20151112,-17.10526316,2015,10,12,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,Menomonee Falls; Wisconsin,885639
KSU,20161018,-8.196721311,2016,9,18,Kansas City Southern,Industrials,Railroads,Kansas City; Missouri,54480
LB,20151118,-25.67567568,2015,10,18,L Brands Inc.,Consumer Discretionary,Apparel Retail,Columbus; Ohio,701985
LEG,20161027,1.515151515,2016,9,27,Leggett & Platt,Consumer Discretionary,Home Furnishings,Carthage; Missouri,58492
LEN,20160920,0.697906281,2016,8,20,Lennar Corp.,Consumer Discretionary,Homebuilding,Miami; Florida,920760
LH,20161026,-10.28331584,2016,9,26,Laboratory Corp. of America Holding,Health Care,Health Care Services,Burlington; North Carolina,920148
LKQ,20161027,-13.60691145,2016,9,27,LKQ Corporation,Consumer Discretionary,Distributors,Chicago; Illinois,1065696
LMT,20161025,30.18391634,2016,9,25,Lockheed Martin Corp.,Industrials,Aerospace & Defense,Bethesda; Maryland,936468
LNC,20161102,27.38853503,2016,10,2,Lincoln National,Financials,Multi-line Insurance,Radnor; Pennsylvania,59558
LNT,20161103,26.66666667,2016,10,3,Alliant Energy Corp,Utilities,Electric Utilities,Madison; Wisconsin,352541
LOW,20151118,-23.07692308,2015,10,18,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,Mooresville; North Carolina,60667
LRCX,20160420,-40.10226443,2016,3,20,Lam Research,Information Technology,Semiconductor Equipment,Fremont; California,707549
LUV,20161026,-22.78953923,2016,9,26,Southwest Airlines,Industrials,Airlines,Dallas; Texas,92380
LVLT,20161031,-21.21212121,2016,9,31,Level 3 Communications,Telecommunications Services,Alternative Carriers,Broomfield; Colorado,794323
LYB,20161101,1.762114537,2016,10,1,LyondellBasell,Materials,Specialty Chemicals,Rotterdam; Netherlands,1489393
M,20151111,-52.94117647,2015,10,11,Macy's Inc.,Consumer Discretionary,Department Stores,Cincinnati; Ohio,794367
MA,20161028,9.53346856,2016,9,28,Mastercard Inc.,Information Technology,Internet Software & Services,Harrison; New York,1141391
MAA,20161027,75,2016,9,27,Mid-America Apartments,Real Estate,Residential REITs,Memphis; Tennessee,912595
MAC,20161027,-55,2016,9,27,Macerich,Real Estate,Retail REITs,Santa Monica; California,912242
MAR,20161107,-69.6969697,2016,10,7,Marriott Int'l.,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Bethesda; Maryland,1048286
MAS,20161025,5.263157895,2016,9,25,Masco Corp.,Industrials,Building Products,Taylor; Michigan,62996
MAT,20161019,-1071.428571,2016,9,19,Mattel Inc.,Consumer Discretionary,Leisure Products,El Segundo; California,63276
MCD,20161021,11.85682327,2016,9,21,McDonald's Corp.,Consumer Discretionary,Restaurants,Oak Brook; Illinois,63908
MCHP,20160203,-53.71900826,2016,1,3,Microchip Technology,Information Technology,Semiconductors,Chandler; Arizona,827054
MCK,20160127,-17.50380518,2016,0,27,McKesson Corp.,Health Care,Health Care Distributors,San Francisco; California,927653
MCO,20161021,17.06881144,2016,9,21,Moody's Corp,Financials,Financial Exchanges & Data,New York; New York,1059556
MDLZ,20161026,-26.77824268,2016,9,26,Mondelez International,Consumer Staples,Packaged Foods & Meats,Northfield; Illinois,1103982
MDT,20160301,-26.66666667,2016,2,1,Medtronic plc,Health Care,Health Care Equipment,Dublin; Ireland,64670
MET,20161102,-62.58253852,2016,10,2,MetLife Inc.,Financials,Life & Health Insurance,New York; New York,1099219
MHK,20161103,30.82761113,2016,10,3,Mohawk Industries,Consumer Discretionary,Home Furnishings,Amsterdam; New York,851968
MJN,20161027,-14.2550911,2016,9,27,Mead Johnson,Consumer Staples,Packaged Foods & Meats,Glenview; Illinois,1452575
MKC,20160930,21.95121951,2016,8,30,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,Sparks; Maryland,63754
MLM,20161101,128.440367,2016,10,1,Martin Marietta Materials,Materials,Construction Materials,Raleigh; North Carolina,916076
MMC,20161025,-27.29083665,2016,9,25,Marsh & McLennan,Financials,Insurance Brokers,New York; New York,62709
MMM,20161025,1.895734597,2016,9,25,3M Company,Industrials,Industrial Conglomerates,St. Paul; Minnesota,66740
MNST,20161103,-5.982905983,2016,10,3,Monster Beverage,Consumer Staples,Soft Drinks,Corona; California,865752
MO,20161027,-26.60550459,2016,9,27,Altria Group Inc,Consumer Staples,Tobacco,Richmond; Virginia,764180
MON,20160629,-34.93013972,2016,5,29,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,Creve Coeur; Missouri,1110783
MOS,20161101,-47.36842105,2016,10,1,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,Plymouth; Minnesota,1285785
MPC,20161027,-38.35616438,2016,9,27,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Findlay; Ohio,1510295
MRO,20161102,2200,2016,10,2,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,Houston; Texas,101778
MS,20161019,2.661596958,2016,9,19,Morgan Stanley,Financials,Investment Banking & Brokerage,New York; New York,895421
MSFT,20160421,-31.18594436,2016,3,21,Microsoft Corp.,Information Technology,Systems Software,Redmond; Washington,789019
MSI,20161103,182.5,2016,10,3,Motorola Solutions Inc.,Information Technology,Communications Equipment,Schaumburg; Illinois,68505
MTB,20161019,-1.362141851,2016,9,19,M&T Bank Corp.,Financials,Regional Banks,Buffalo; New York,36270
MU,20160630,-202.9411765,2016,5,30,Micron Technology,Information Technology,Semiconductors,Boise; Idaho,723125
MUR,20161026,-827.2727273,2016,9,26,Murphy Oil,Energy,Integrated Oil & Gas,El Dorado; Arkansas,717423
NAVI,20161018,19.67213115,2016,9,18,Navient,Financials,Consumer Finance,Newark; Delaware,1593538
NBL,20161101,63.36633663,2016,10,1,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,Houston; Texas,72207
NDAQ,20161026,-15.84699454,2016,9,26,NASDAQ OMX Group,Financials,Financial Exchanges & Data,New York; New York,1120193
NEE,20161031,24.61538462,2016,9,31,NextEra Energy,Utilities,Multi-Utilities,Juno Beach; Florida,753308
NFLX,20161017,-40.59405941,2016,9,17,Netflix Inc.,Information Technology,Internet Software & Services,Los Gatos; California,1065280
NFX,20161101,-25.69659443,2016,10,1,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,Houston; Texas,912750
NI,20161101,-88.70967742,2016,10,1,NiSource Inc.,Utilities,Multi-Utilities,Merrillville; Indiana,1111711
NKE,20160322,-14.33021807,2016,2,22,Nike,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Washington County; Oregon,320187
NLSN,20161025,24.13793103,2016,9,25,Nielsen Holdings,Industrials,Research & Consulting Services,New York; New York,1492633
NOC,20161026,16.31944444,2016,9,26,Northrop Grumman Corp.,Industrials,Aerospace & Defense,West Falls Church; Virginia,1133421
NOV,20161026,1545.454545,2016,9,26,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,Houston; Texas,1021860
NRG,20161104,388.4615385,2016,10,4,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Princeton; New Jersey,1013871
NSC,20161026,14.9851632,2016,9,26,Norfolk Southern Corp.,Industrials,Railroads,Norfolk; Virginia,702165
NTAP,20160217,-1.515151515,2016,1,17,NetApp,Information Technology,Internet Software & Services,Sunnyvale; California,1002047
NTRS,20161019,1.123595506,2016,9,19,Northern Trust Corp.,Financials,Asset Management & Custody Banks,Chicago; Illinois,73124
NVDA,20151105,93.83259912,2015,10,5,Nvidia Corporation,Information Technology,Semiconductors,Santa Clara; California,1045810
NWL,20161028,34.75177305,2016,9,28,Newell Brands,Consumer Discretionary,Housewares & Specialties,Sandy Springs; Georgia,814453
O,20161026,-10,2016,9,26,Realty Income Corporation,Real Estate,Retail REITs,San Diego; California,726728
OKE,20161101,-0.677200903,2016,10,1,ONEOK,Energy,Oil & Gas Storage & Transportation,Tulsa; Oklahoma,1039684
OMC,20161018,-26.64359862,2016,9,18,Omnicom Group,Consumer Discretionary,Advertising,New York; New York,29989
ORCL,20160315,-32.34100135,2016,2,15,Oracle Corp.,Information Technology,Application Software,Redwood Shores; California,1341439
ORLY,20161026,-1.125127855,2016,9,26,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,Springfield; Missouri,898173
OXY,20161101,-179.4871795,2016,10,1,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Los Angeles; California,797468
PAYX,20160330,-7.407407407,2016,2,30,Paychex Inc.,Information Technology,Internet Software & Services,Penfield; New York,723531
PBCT,20161020,10.09174312,2016,9,20,People's United Financial,Financials,Thrifts & Mortgage Finance,Bridgeport; Connecticut,1378946
PCAR,20161025,6.986899563,2016,9,25,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,Bellevue; Washington,75362
PCG,20161104,0,2016,10,4,PG&E Corp.,Utilities,Multi-Utilities,San Francisco; California,1004980
PCLN,20161107,-0.5497742,2016,10,7,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk; Connecticut,1075531
PDCO,20160225,-21.56862745,2016,1,25,Patterson Companies,Health Care,Health Care Supplies,St. Paul; Minnesota,891024
PEG,20161031,-21.56862745,2016,9,31,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,Newark; New Jersey,788784
PEP,20160929,41.96891192,2016,8,29,PepsiCo Inc.,Consumer Staples,Soft Drinks,Purchase; New York,77476
PFG,20161027,-3.196347032,2016,9,27,Principal Financial Group,Financials,Life & Health Insurance,Des Moines; Iowa,1126328
PG,20160426,-13.18327974,2016,3,26,Procter & Gamble,Consumer Staples,Personal Products,Cincinnati; Ohio,80424
PGR,20161013,-27.35042735,2016,9,13,Progressive Corp.,Financials,Property & Casualty Insurance,Mayfield Village; Ohio,80661
PH,20160426,-19.41176471,2016,3,26,Parker-Hannifin,Industrials,Industrial Machinery,Cleveland; Ohio,76334
PHM,20161020,24.57912458,2016,9,20,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,Atlanta; Georgia,822416
PKI,20161107,7.216494845,2016,10,7,PerkinElmer,Health Care,Health Care Equipment,Waltham; Massachusetts,31791
PLD,20161020,40.54054054,2016,9,20,Prologis,Real Estate,Industrial REITs,San Francisco; California,1045609
PM,20161018,6.202209006,2016,9,18,Philip Morris International,Consumer Staples,Tobacco,New York; New York,1413329
PNC,20161014,-3.966597077,2016,9,14,PNC Financial Services,Financials,Regional Banks,Pittsburgh; Pennsylvania,713676
PNR,20161025,2.4,2016,9,25,Pentair Ltd.,Industrials,Industrial Machinery,Worsley; UK,77360
PNW,20161103,2297.959184,2016,10,3,Pinnacle West Capital,Utilities,Multi-Utilities,Phoenix; Arizona,764622
